#{"t_start": 1728492156.4781613, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-129.097309,79,0.06506
-59.92388,101,0.110101
-101.429761,186,0.205187
-75.422278,87,0.246224
-145.219029,93,0.281256
-83.536718,121,0.3293
-69.041064,92,0.371338
-107.942188,74,0.399364
-388.292817,130,0.458417
-255.194834,73,0.503459
-97.917821,88,0.536489
-267.877079,107,0.583531
-109.705699,94,0.619563
-96.219506,104,0.666606
-407.424798,143,0.727662
-41.727332,101,0.775705
-385.612437,91,0.810737
-144.434342,133,0.863786
-72.366053,95,0.910829
-272.874313,120,0.969882
-403.805134,92,1.01192
-398.162982,88,1.04495
-266.654273,74,1.071974
-306.547521,97,1.118016
-247.946021,89,1.152047
-113.718456,88,1.184077
-66.360238,81,1.222111
-230.8731,108,1.26415
-92.884663,198,1.370245
-65.030403,71,1.395268
-55.961151,89,1.436306
-264.993043,94,1.472338
-285.876452,120,1.523385
-73.51967,60,1.545405
-335.693675,103,1.585441
-100.898914,104,1.629481
-133.852276,106,1.674522
-134.737299,74,1.702547
-259.624083,149,1.772611
-169.387744,122,1.828662
-333.510848,95,1.871701
-97.73691,79,1.900727
-354.308877,129,1.957779
-95.090037,165,2.032847
-584.902863,120,2.087897
-283.620202,154,2.150955
-100.457834,88,2.190991
-335.808187,185,2.28808
-200.495174,118,2.335122
-280.377957,139,2.396178
-132.182086,85,2.428207
-325.520709,87,2.461237
-109.707006,83,2.508279
-310.876524,111,2.561328
-121.886639,128,2.638398
-500.065289,171,2.730482
-10.951423,116,2.777524
-296.072696,90,2.814558
-192.377294,132,2.873612
-39.763463,106,2.91565
-255.992953,79,2.951682
-73.175405,79,2.98171
-406.547123,90,3.016742
-225.685778,91,3.056778
-46.604087,105,3.097815
-362.223401,82,3.142857
-89.862966,95,3.17989
-106.248594,157,3.250955
-377.180314,81,3.281982
-422.349752,99,3.320017
-121.886562,144,3.384076
-490.880082,132,3.436122
9.818725,89,3.47716
-63.117041,78,3.506186
-67.052919,87,3.539216
-292.482177,154,3.615286
-196.968258,101,3.658324
-206.681354,69,3.687351
-126.11977,78,3.715376
-376.500429,112,3.760418
-224.730405,134,3.819471
-73.642598,102,3.857506
-271.74357,141,3.921564
-24.053689,95,3.958598
-219.543996,158,4.044676
-380.889412,80,4.073702
-347.140925,162,4.148771
-162.342705,75,4.175795
-435.74464,87,4.215831
-176.559646,97,4.255867
-90.052965,121,4.308916
-177.718316,114,4.352956
-440.210912,104,4.393993
-326.758736,93,5.109643
-308.039705,168,6.929297
-184.332755,77,7.72402
-388.021929,232,10.368421
-299.478534,274,13.396172
-289.419177,79,14.209912
-24.74893,156,16.042583
-379.236831,929,28.491906
-263.110747,551,35.898635
-56.528501,177,38.876347
-193.442659,430,44.580775
-137.051405,396,49.752474
-108.907345,458,55.576479
-110.334855,395,61.047501
19.580481,1000,76.361904
-216.148314,597,84.042144
-120.932877,351,88.950283
-174.770465,533,96.103383
-89.125126,1000,109.932735
187.918682,666,120.294196
-24.206818,214,123.066175
38.609861,264,126.631323
-162.410124,311,131.081131
-20.453222,214,133.903055
-0.562992,182,136.33933
9.215696,203,139.101237
-1.452468,191,141.607627
-239.149758,271,145.505974
-39.536618,268,149.249272
10.965977,203,151.873145
10.345599,210,154.609631
-71.126447,245,157.813542
-43.306952,201,160.458316
-74.012066,259,163.903711
-40.48233,193,166.391023
-80.994244,224,169.196689
169.22666,333,173.92642
-277.006444,433,180.284218
-142.170539,197,182.891588
-228.22746,124,184.432915
-240.047233,139,186.224041
-42.64876,265,189.752247
-30.93522,281,193.400681
-78.905823,303,197.520814
214.628072,391,202.704232
-196.368587,247,206.157302
-245.76569,177,208.492423
-79.985439,198,211.1013
-111.845464,144,213.005408
-47.43409,288,216.780012
292.317651,280,220.370274
39.32883,133,222.068264
-128.658448,301,226.002571
111.242236,490,232.938667
-178.957991,221,235.973383
195.266273,299,239.808753
